,Predictor or Set of Predictors,Standardized Dominance
0,age,0.31404447639303557
1,sex_parenthood,0.2823077986456037
2,time_worked,0.23487598749371894
3,state,0.13466292389264783
4,ethnicity,0.03410881357499387
5,TOTAL,0.9999999999999998
6,% Variance Explained (R²),0.19074811193976832
7,N,1359037
